space_name,space_id,folder_name,folder_id
Isaac Johnson,90183928246,Isaac Johnson WIG Meeting,90187575089
Isaac Johnson,90183928246,Jiminys,901812831469
Isaac Johnson,90183928246,My Salt Solutions - $3K,129131014
Isaac Johnson,90183928246,SickMitts Hockey,90187278139
Isaac Johnson,90183928246,Trainings ,901811974158
Isaac Johnson,90183928246,Vanilla Bean Project,90080759337
Isaac Johnson,90183928246,X SET ,901811853905
Jake Yorgason,90185187080,AEO Labs,901811973547
Jake Yorgason,90185187080,Admin,90185978621
Jake Yorgason,90185187080,All Clients,90187147114
Jake Yorgason,90185187080,Anchor Strap Co,90186797409
Jake Yorgason,90185187080,Ardor Energy,901813079812
Jake Yorgason,90185187080,Factory Direct,90188574940
Jake Yorgason,90185187080,Honor Thy Apothecary,901812112142
Jake Yorgason,90185187080,Incoming Tasks,90185977980
Jake Yorgason,90185187080,Light to Form,90186147637
Jake Yorgason,90185187080,Liv N Spicy,90189061930
Jake Yorgason,90185187080,Pocket Radar,901810530874
James Maxwell,90187458903,CyclePath,901811528273
James Maxwell,90187458903,General,901810564767
James Maxwell,90187458903,Incoming Tasks,90189115255
James Maxwell,90187458903,Template Account,901811972629
James Maxwell,90187458903,Volt03,901811369868
James Maxwell,90187458903,Wynwood Sound,901811272213
James Maxwell,90187458903,YNGSTAR,901812831079
James Maxwell,90187458903,Zixin Life,901810561007
Kee Jensen,38584426,Barrier Direct ,90181283990
Kee Jensen,38584426,General,109661205
Kee Jensen,38584426,Incoming Tasks,90182708081
Kee Jensen,38584426,Kaxi,90081346132
Kee Jensen,38584426,Logins,90091376245
Kee Jensen,38584426,Nutri Bites,901812393763
Kee Jensen,38584426,Saraya (Lakanto),90189756781
Kee Jensen,38584426,Sun Ten,90182973804
Kee Jensen,38584426,VP of Client Services,90183714345
Kee Jensen,38584426,WIGs,901811754750
Kensie Gomer,90182117602,Incoming Tasks,90182560026
Knowledge,90060113671,Advertising,90101448612
Knowledge,90060113671,Ai Insights,901812130754
Knowledge,90060113671,Client Setup Guides,901811973082
Knowledge,90060113671,SOPs & POAs,90101448678
Knowledge,90060113671,Training Slideshows,90182207978
Knowledge,90060113671,Tuesday Training- Whiteboards,90101311435
Kyle Buhler,90060037385,Baden (Jensen Boys),90185224015
Kyle Buhler,90060037385,Baden/Axe Bats,90183896959
Kyle Buhler,90060037385,Bigfloors,90091374128
Kyle Buhler,90060037385,Bison Production,90101330548
Kyle Buhler,90060037385,Candy Co,90184547321
Kyle Buhler,90060037385,CleanBrands,90180327056
Kyle Buhler,90060037385,Clearly Innovative,90101411861
Kyle Buhler,90060037385,Clients Canceled/Hold,90061086484
Kyle Buhler,90060037385,Ego Fishing (Jensen Boys),90189276471
Kyle Buhler,90060037385,General,90060122694
Kyle Buhler,90060037385,Inbox,90091376247
Kyle Buhler,90060037385,Koops' (Jensen Boys),90189418822
Kyle Buhler,90060037385,Patriot Crew,90060377998
Kyle Buhler,90060037385,Pestie,90101416889
Kyle Buhler,90060037385,WIG Agenda,90184165172
Liberty Lighten,20325302,All clients,98598358
Liberty Lighten,20325302,Flourish pets,90187922228
Liberty Lighten,20325302,Halo Beau Jensenty,901810527177
Liberty Lighten,20325302,Hugtog Corporation,901811225502
Liberty Lighten,20325302,Incoming Tasks,90091376611
Liberty Lighten,20325302,Legend Fleet,90188922227
Liberty Lighten,20325302,Medicinal Foods,90182311381
Liberty Lighten,20325302,Red Land Cotton,98491095
Liberty Lighten,20325302,SY Kessler,90060991903
Liberty Lighten,20325302,Template,135053440
Liberty Lighten,20325302,Trot Pets,90181477254
Management,90183225528,CC & Reporting,90188123074
Management,90183225528,Client Intake Forms,901810564341
Matson Tolman,90180051617,ALL ACCOUNT,90182384190
OPS,90060361815,Client On/Offboarding,90182062021
OPS,90060361815,Email Touchpoints,90182053433
OPS,90060361815,Employee On/Offboarding,90182062338
OPS,90060361815,Kenna,115506794
OPS,90060361815,OPS VA tasks,90180124577
OPS,90060361815,Task Templates,90184328796
Quinn Meador,49714918,Blackline Car Care,901811948842
Quinn Meador,49714918,Incoming Tasks,90183946191
Quinn Meador,49714918,Intimae,90184065415
Quinn Meador,49714918,Majority Audio,901812497709
Quinn Meador,49714918,MasTrack,4387246
Quinn Meador,49714918,Peer Basic,90183697939
Quinn Meador,49714918,Sulfur Eliminator,90185554647
Quinn Meador,49714918,The Glo,90050067348
Quinn Meador,49714918,Velaasa,129255908
Kyle Rutland,90181896421,3D Fuel,90182266695
Kyle Rutland,90181896421,ANYAIKA,90187046819
Kyle Rutland,90181896421,Aero Essense ,901810901605
Kyle Rutland,90181896421,CUFT,901810287109
Kyle Rutland,90181896421,Incoming Tasks,90182299182
Kyle Rutland,90181896421,Internal EC Task,90182299184
Kyle Rutland,90181896421,John's Creme,90185093022
Kyle Rutland,90181896421,Next Level Boost,90189573012
Kyle Rutland,90181896421,Refillery Haus,90183532550
Kyle Rutland,90181896421,Skinny Tees,90183699183
Sales,63017812,Aaron,90182698232
Sales,63017812,Agendas,90182698229
Sales,63017812,New Deals,90101542850
Sales,63017812,Onboarding,901811760743
Sales,63017812,Requests,90182698224
Sales,63017812,Rey,90180353317
Sales,63017812,Sales Calls,90091376144
Skyler Jensen,12644243,Distribution,90182624394
Skyler Jensen,12644243,Incoming Tasks,90101547436
